,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
90,2015-05-20,sz.399001,15206.5600,15618.1300,15206.5600,15337.0800,15127.3800,38130902400,820478000000.0000,3,0.078725,1,1.386229,,,,,
91,2015-05-21,sz.399001,15402.9500,15872.5900,15402.9500,15872.5300,15337.0800,35806297600,798003000000.0000,3,0.073854,1,3.491214,,,,,
92,2015-05-22,sz.399001,16084.0400,16191.1500,15731.0100,16045.8000,15872.5300,43888870400,958350000000.0000,3,0.090262,1,1.091631,,,,,
93,2015-05-25,sz.399001,15894.1400,16368.9100,15810.1500,16351.0600,16045.8000,42305667200,915110000000.0000,3,0.086837,1,1.902428,,,,,
94,2015-05-26,sz.399001,16456.2300,16904.1500,16397.5000,16903.4700,16351.0600,44925190400,979692000000.0000,3,0.091914,1,3.378442,,,,,
95,2015-05-27,sz.399001,16988.9000,17061.9200,16610.7800,16963.5200,16903.4700,44726105600,996574000000.0000,3,0.091265,1,0.355245,,,,,
96,2015-05-28,sz.399001,16953.6000,17153.8000,15909.1000,15912.9500,16963.5200,52261756800,1115010000000.0000,3,0.106620,1,-6.193110,,,,,
97,2015-05-29,sz.399001,15920.3300,16386.0500,15299.6500,16100.4500,15912.9500,41343862400,903178000000.0000,3,0.084074,1,1.178286,,,,,
98,2015-06-01,sz.399001,16247.3900,16921.0700,16245.5500,16917.5200,16100.4500,36687296000,836617000000.0000,3,0.074439,1,5.074823,,,,,
99,2015-06-02,sz.399001,17051.2200,17485.5800,16963.7400,17485.5800,16917.5200,39854876800,935108000000.0000,3,0.080475,1,3.357824,,,,,
100,2015-06-03,sz.399001,17626.9200,17696.4800,17098.4300,17538.5000,17485.5800,40930355200,971580000000.0000,3,0.082357,1,0.302649,,,,,
101,2015-06-04,sz.399001,17579.3600,17608.7200,16426.3100,17501.0500,17538.5000,40317171200,936708000000.0000,3,0.080999,1,-0.213526,,,,,
102,2015-06-05,sz.399001,17727.8600,17901.8600,17302.5600,17649.0900,17501.0500,44681958400,1027060000000.0000,3,0.089750,1,0.845887,,,,,
103,2015-06-08,sz.399001,17648.7200,17648.7200,17145.7000,17452.3100,17649.0900,42312051200,958572000000.0000,3,0.084847,1,-1.114954,,,,,
104,2015-06-09,sz.399001,17410.6400,17609.2800,17184.3200,17399.0000,17452.3100,34865062400,786413000000.0000,3,0.069785,1,-0.305464,,,,,
105,2015-06-10,sz.399001,17297.0400,17852.3600,17165.9000,17677.5700,17399.0000,36116246400,815536000000.0000,3,0.071799,1,1.601071,,,,,
106,2015-06-11,sz.399001,17692.9000,17889.9100,17606.4300,17889.6900,17677.5700,35335468800,826855000000.0000,3,0.070088,1,1.199934,,,,,
107,2015-06-12,sz.399001,17978.0500,18198.0700,17921.9100,18098.2700,17889.6900,38507196800,904845000000.0000,3,0.076138,1,1.165923,,,,,
108,2015-06-15,sz.399001,18182.6400,18211.7600,17668.6700,17702.5500,18098.2700,40617833600,930031000000.0000,3,0.080203,1,-2.186501,,,,,
109,2015-06-16,sz.399001,17502.3700,17502.3700,16911.9100,17075.9300,17702.5500,35302038400,805377000000.0000,3,0.069621,1,-3.539722,,,,,
110,2015-06-17,sz.399001,17073.0800,17474.0800,16564.3700,17405.5700,17075.9300,31241916800,706311000000.0000,3,0.061600,1,1.930440,,,,,
111,2015-06-18,sz.399001,17367.1300,17442.7700,16709.6000,16734.8400,17405.5700,28905971200,675367000000.0000,3,0.056911,1,-3.853539,,,,,
112,2015-06-19,sz.399001,16386.9800,16578.8800,15700.4900,15725.4700,16734.8400,28964643200,601167000000.0000,3,0.056878,1,-6.031549,,,,,
113,2015-06-23,sz.399001,15720.3200,16047.3200,14938.8200,16045.9900,15725.4700,29292774400,604701000000.0000,3,0.057522,1,2.038219,,,,,
114,2015-06-24,sz.399001,16178.5500,16345.7500,15867.9100,16312.3100,16045.9900,33217344000,675215000000.0000,3,0.065206,1,1.659737,,,,,
115,2015-06-25,sz.399001,16370.0000,16399.3400,15499.2200,15692.4400,16312.3100,33171568000,684557000000.0000,3,0.064968,1,-3.799990,,,,,
116,2015-06-26,sz.399001,15196.5600,15229.0000,14321.0500,14398.7900,15692.4400,29466585600,555138000000.0000,3,0.057575,1,-8.243835,,,,,
117,2015-06-29,sz.399001,14703.9700,14712.1600,13250.3500,13566.2700,14398.7900,35894694400,631193000000.0000,3,0.070135,1,-5.781833,,,,,
118,2015-06-30,sz.399001,13274.6400,14352.0500,12723.1600,14337.9600,13566.2700,39954009600,721379000000.0000,3,0.077950,1,5.688323,,,,,
119,2015-07-01,sz.399001,14185.1000,14696.9800,13578.3800,13650.8200,14337.9600,34874211200,691163000000.0000,3,0.067347,1,-4.792511,,,,,
120,2015-07-02,sz.399001,13655.7300,13732.4900,12727.2300,12924.1900,13650.8200,32073507200,552267000000.0000,3,0.061890,1,-5.322949,,,,,
121,2015-07-03,sz.399001,12475.6100,13154.1300,11953.0800,12246.0600,12924.1900,31553619200,505097000000.0000,3,0.060455,1,-5.246974,,,,,
122,2015-07-06,sz.399001,13140.1400,13140.1400,11584.4700,12075.7700,12246.0600,39633798400,609084000000.0000,3,0.075928,1,-1.390594,,,,,
123,2015-07-07,sz.399001,11660.5600,11767.6600,11282.6200,11375.6000,12075.7700,22732403200,301441000000.0000,3,0.043512,1,-5.798099,,,,,
124,2015-07-08,sz.399001,10870.1400,11112.6200,10850.3800,11040.8900,11375.6000,30732857600,414188000000.0000,3,0.058632,1,-2.942392,,,,,
125,2015-07-09,sz.399001,10953.3300,11513.3600,10933.0000,11510.3400,11040.8900,20745452800,277581000000.0000,3,0.039578,1,4.251933,,,,,
126,2015-07-10,sz.399001,11733.4500,12062.9000,11696.7700,12038.1400,11510.3400,15891523200,247329000000.0000,3,0.030226,1,4.585483,,,,,
127,2015-07-13,sz.399001,12367.6200,12658.0700,12261.2500,12614.1600,12038.1400,23384912000,391783000000.0000,3,0.044476,1,4.784880,,,,,
128,2015-07-14,sz.399001,12796.4900,13091.9300,12635.2000,12728.5100,12614.1600,28563513600,491958000000.0000,3,0.054325,1,0.906580,,,,,
129,2015-07-15,sz.399001,12783.0800,12792.3100,12093.9000,12132.4200,12728.5100,34529542400,545534000000.0000,3,0.065577,1,-4.683137,,,,,
