"code=2196.HK"
"symbol=Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
"name=Shanghai Fosun Pharmaceutical (Group) Co., Ltd."
"board=Unknown"
"industry=Unknown"
"timeZone=Asia/Hong_Kong"
"intradayOpen="
"intradayClose="
"日期","开盘","最高价","最低价","闭市价","成交量"
"Oct 15, 2015","25.25","25.399999618530273","24.899999618530273","25.0","824730"
"Oct 16, 2015","25.0","25.200000762939453","24.75","24.950000762939453","1172506"
"Oct 19, 2015","25.25","25.5","24.899999618530273","25.450000762939453","1181030"
"Oct 20, 2015","25.450000762939453","25.450000762939453","24.799999237060547","25.399999618530273","811720"
"Oct 22, 2015","24.899999618530273","25.299999237060547","24.899999618530273","25.25","889912"
"Oct 23, 2015","25.5","25.899999618530273","25.25","25.850000381469727","1636020"
"Oct 26, 2015","26.0","26.049999237060547","25.299999237060547","25.649999618530273","1345549"
"Oct 27, 2015","25.399999618530273","25.850000381469727","25.299999237060547","25.850000381469727","714000"
"Oct 28, 2015","25.5","25.700000762939453","25.350000381469727","25.5","412937"
"Oct 29, 2015","25.799999237060547","25.799999237060547","25.350000381469727","25.5","393500"
"Oct 30, 2015","25.5","25.5","25.049999237060547","25.25","705360"
"Nov 2, 2015","25.100000381469727","25.149999618530273","24.700000762939453","24.899999618530273","805970"
"Nov 3, 2015","24.899999618530273","25.100000381469727","24.700000762939453","25.049999237060547","665955"
"Nov 4, 2015","25.25","25.649999618530273","24.799999237060547","25.600000381469727","1671126"
"Nov 5, 2015","25.799999237060547","25.899999618530273","25.399999618530273","25.75","1842500"
"Nov 6, 2015","25.600000381469727","26.450000762939453","25.149999618530273","26.350000381469727","2016000"
"Nov 9, 2015","26.200000762939453","26.649999618530273","25.100000381469727","26.100000381469727","1071969"
"Nov 10, 2015","26.0","26.25","25.600000381469727","25.799999237060547","672595"
"Nov 11, 2015","25.700000762939453","26.0","25.299999237060547","25.700000762939453","659697"
"Nov 12, 2015","25.5","26.0","25.5","25.850000381469727","1340000"
"Nov 13, 2015","25.799999237060547","25.850000381469727","25.25","25.700000762939453","1005530"
"Nov 16, 2015","25.200000762939453","25.549999237060547","25.0","25.100000381469727","901473"
"Nov 17, 2015","25.299999237060547","25.399999618530273","24.649999618530273","24.700000762939453","741357"
"Nov 18, 2015","24.700000762939453","25.399999618530273","24.0","24.700000762939453","1813285"
"Nov 19, 2015","24.899999618530273","25.100000381469727","24.350000381469727","24.600000381469727","1130500"
"Nov 20, 2015","24.799999237060547","24.950000762939453","24.25","24.799999237060547","785606"
"Nov 23, 2015","24.799999237060547","25.299999237060547","24.600000381469727","25.049999237060547","644281"
"Nov 24, 2015","25.299999237060547","25.649999618530273","25.0","25.600000381469727","1039320"
"Nov 25, 2015","25.149999618530273","25.75","25.149999618530273","25.700000762939453","711776"
"Nov 26, 2015","25.75","25.75","25.350000381469727","25.549999237060547","431217"
"Nov 27, 2015","25.5","26.0","24.75","25.049999237060547","1774671"
"Nov 30, 2015","25.200000762939453","25.5","24.75","25.100000381469727","2390224"
"Dec 1, 2015","25.149999618530273","25.649999618530273","25.100000381469727","25.600000381469727","754755"
"Dec 2, 2015","25.549999237060547","26.200000762939453","25.549999237060547","26.0","1404120"
"Dec 3, 2015","26.0","26.5","25.950000762939453","26.450000762939453","1509650"
"Dec 4, 2015","26.399999618530273","27.0","26.0","27.0","1938000"
"Dec 7, 2015","27.049999237060547","27.049999237060547","26.149999618530273","26.25","1766000"
"Dec 8, 2015","26.100000381469727","26.299999237060547","25.75","25.850000381469727","676125"
"Dec 9, 2015","26.0","26.0","24.950000762939453","25.049999237060547","2448812"
"Dec 10, 2015","25.350000381469727","25.350000381469727","24.549999237060547","24.899999618530273","1226530"
"Dec 11, 2015","24.899999618530273","24.899999618530273","24.899999618530273","24.899999618530273","0"
"Dec 14, 2015","21.649999618530273","24.0","21.649999618530273","21.899999618530273","27185173"
"Dec 15, 2015","21.899999618530273","22.399999618530273","20.899999618530273","21.0","7603053"
"Dec 16, 2015","21.200000762939453","22.0","21.149999618530273","21.25","4867684"
"Dec 17, 2015","21.399999618530273","22.350000381469727","21.399999618530273","21.899999618530273","5585500"
"Dec 18, 2015","21.5","22.100000381469727","21.5","21.950000762939453","3517887"
"Dec 21, 2015","21.850000381469727","22.850000381469727","21.850000381469727","22.600000381469727","4581040"
"Dec 22, 2015","22.75","22.850000381469727","22.25","22.350000381469727","2863340"
"Dec 23, 2015","22.5","22.75","22.200000762939453","22.350000381469727","1864294"
"Dec 24, 2015","22.600000381469727","22.649999618530273","22.25","22.399999618530273","786851"
"Dec 28, 2015","22.350000381469727","22.75","21.899999618530273","22.049999237060547","1401530"
"Dec 29, 2015","22.100000381469727","22.399999618530273","22.0","22.200000762939453","885547"
"Dec 30, 2015","22.549999237060547","22.549999237060547","21.799999237060547","22.149999618530273","1512898"
"Dec 31, 2015","22.399999618530273","22.5","22.200000762939453","22.5","657500"
"Jan 4, 2016","22.600000381469727","22.600000381469727","21.25","21.399999618530273","1579893"
"Jan 5, 2016","21.100000381469727","21.799999237060547","21.0","21.600000381469727","1590979"
"Jan 6, 2016","21.399999618530273","21.600000381469727","21.149999618530273","21.299999237060547","2413281"
"Jan 7, 2016","21.299999237060547","21.5","20.100000381469727","20.149999618530273","2955989"
"Jan 8, 2016","20.100000381469727","20.899999618530273","19.940000534057617","20.5","2862319"
"Jan 11, 2016","20.0","20.350000381469727","19.420000076293945","19.440000534057617","1647542"
"Jan 12, 2016","19.739999771118164","20.100000381469727","19.600000381469727","19.68000030517578","1238000"
"Jan 13, 2016","19.899999618530273","20.25","19.200000762939453","19.360000610351562","1430157"
"Jan 14, 2016","18.979999542236328","19.68000030517578","18.719999313354492","19.540000915527344","1645500"
"Jan 15, 2016","19.639999389648438","19.639999389648438","18.700000762939453","18.780000686645508","2020215"
"Jan 18, 2016","18.700000762939453","18.860000610351562","16.5","16.639999389648438","9016100"
"Jan 19, 2016","17.100000381469727","17.68000030517578","17.100000381469727","17.540000915527344","9960000"
"Jan 20, 2016","17.459999084472656","17.579999923706055","16.700000762939453","16.760000228881836","4804409"
"Jan 21, 2016","16.579999923706055","17.239999771118164","16.31999969482422","16.3799991607666","2874500"
"Jan 22, 2016","16.700000762939453","16.979999542236328","16.34000015258789","16.799999237060547","4390100"
"Jan 25, 2016","16.8799991607666","17.100000381469727","16.6200008392334","16.799999237060547","1698900"
"Jan 26, 2016","16.65999984741211","17.0","16.600000381469727","16.639999389648438","4820500"
"Jan 27, 2016","16.760000228881836","17.15999984741211","16.479999542236328","16.68000030517578","2110491"
"Jan 28, 2016","16.579999923706055","17.579999923706055","16.579999923706055","17.559999465942383","3264500"
"Jan 29, 2016","17.600000381469727","18.739999771118164","17.579999923706055","18.540000915527344","6050510"
"Feb 1, 2016","18.34000015258789","18.34000015258789","17.65999984741211","18.1200008392334","2251540"
"Feb 2, 2016","18.0","18.700000762939453","18.0","18.280000686645508","3533500"
"Feb 3, 2016","17.979999542236328","17.979999542236328","17.260000228881836","17.520000457763672","1417288"
"Feb 4, 2016","17.459999084472656","17.540000915527344","17.200000762939453","17.479999542236328","1097550"
"Feb 5, 2016","17.5","17.760000228881836","17.260000228881836","17.399999618530273","1914000"
"Feb 11, 2016","16.700000762939453","17.18000030517578","16.600000381469727","16.84000015258789","620500"
"Feb 12, 2016","17.219999313354492","17.399999618530273","16.700000762939453","16.959999084472656","1863197"
"Feb 15, 2016","17.299999237060547","17.65999984741211","16.959999084472656","17.459999084472656","1199000"
"Feb 16, 2016","17.3799991607666","18.239999771118164","17.3799991607666","18.0","1568550"
"Feb 17, 2016","18.020000457763672","18.299999237060547","17.34000015258789","17.559999465942383","2692062"
"Feb 18, 2016","18.0","18.040000915527344","17.600000381469727","18.0","1481000"
"Feb 19, 2016","18.059999465942383","18.420000076293945","18.0","18.420000076293945","1696332"
"Feb 22, 2016","18.5","18.559999465942383","18.239999771118164","18.520000457763672","643500"
"Feb 23, 2016","18.5","19.139999389648438","18.440000534057617","18.81999969482422","1155500"
"Feb 24, 2016","18.899999618530273","18.979999542236328","18.040000915527344","18.34000015258789","967500"
"Feb 25, 2016","18.34000015258789","18.34000015258789","17.559999465942383","17.979999542236328","1514059"
"Feb 26, 2016","18.200000762939453","18.34000015258789","17.81999969482422","18.100000381469727","504497"
"Feb 29, 2016","18.440000534057617","18.440000534057617","17.899999618530273","18.020000457763672","1918400"
"Mar 1, 2016","18.3799991607666","18.579999923706055","17.959999084472656","18.479999542236328","2142000"
